tile_name,kind,symbol_id,linkage_name,frame_count,png_width,png_height,origin_x_from_left_px,origin_y_from_top_px,candidate_unity_pivot_x,candidate_unity_pivot_y,dest_asset_path,notes
antichest,logic,,,0,0,0,0.0,0.0,0.0,0.0,,Pure logic tile in XML; used in TileSystem.getValidDropColumns to disallow chest drops.
big_shell,visual,573,big_shell,1,36,22,2.0,-10.0,0.05555555555555555,1.4545454545454546,Assets/Mutiny/Art/Tiles/Single/big_shell.png,
big_tree,visual,1489,big_tree,1,34,58,1.0,26.0,0.029411764705882353,0.5517241379310345,Assets/Mutiny/Art/Tiles/Single/big_tree.png,
blank_sand_middle_1,visual,1433,blank_sand_middle_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/blank_sand_middle_1.png,
blank_sand_middle_2,visual,1430,blank_sand_middle_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/blank_sand_middle_2.png,
blank_sand_top_left,visual,1436,blank_sand_top_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/blank_sand_top_left.png,
blank_sand_top_right,visual,1439,blank_sand_top_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/blank_sand_top_right.png,
boat_ripple_1,visual,741,boat_ripple_1,16,33,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Animated/boat_ripple_1/,
boat_ripple_2,visual,707,boat_ripple_2,16,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Animated/boat_ripple_2/,
boat_ripple_3,visual,724,boat_ripple_3,16,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Animated/boat_ripple_3/,
boat_ripple_4,visual,1901,boat_ripple_4,16,33,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Animated/boat_ripple_4/,
cannon_port_1,visual,468,cannon_port_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cannon_port_1.png,
cannon_port_2,visual,471,cannon_port_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cannon_port_2.png,
cannon_port_3,visual,474,cannon_port_3,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cannon_port_3.png,
cave_edge_bottom,visual,1510,cave_edge_bottom,1,32,27,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_edge_bottom.png,
cave_edge_left,visual,1516,cave_edge_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_edge_left.png,
cave_edge_right,visual,1519,cave_edge_right,1,30,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_edge_right.png,
cave_edge_top,visual,1513,cave_edge_top,1,32,26,0.0,-6.0,0.0,1.2307692307692308,Assets/Mutiny/Art/Tiles/Single/cave_edge_top.png,
cave_grass,visual,1459,cave_grass,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_grass.png,
cave_inside_corner_bottom_left,visual,1501,cave_inside_corner_bottom_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_inside_corner_bottom_left.png,
cave_inside_corner_bottom_right,visual,1495,cave_inside_corner_bottom_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_inside_corner_bottom_right.png,
cave_inside_corner_top_left,visual,1504,cave_inside_corner_top_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_inside_corner_top_left.png,
cave_inside_corner_top_right,visual,1507,cave_inside_corner_top_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_inside_corner_top_right.png,
cave_middle_1,visual,1379,cave_middle_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_middle_1.png,
cave_middle_2,visual,1376,cave_middle_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_middle_2.png,
cave_middle_3,visual,1373,cave_middle_3,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_middle_3.png,
cave_outside_corner_bottom_left,visual,1370,cave_outside_corner_bottom_left,1,27,26,-5.0,0.0,-0.18518518518518517,1.0,Assets/Mutiny/Art/Tiles/Single/cave_outside_corner_bottom_left.png,
cave_outside_corner_bottom_right,visual,1382,cave_outside_corner_bottom_right,1,28,26,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_outside_corner_bottom_right.png,
cave_outside_corner_top_left,visual,1498,cave_outside_corner_top_left,1,32,26,0.0,-6.0,0.0,1.2307692307692308,Assets/Mutiny/Art/Tiles/Single/cave_outside_corner_top_left.png,
cave_outside_corner_top_right,visual,1385,cave_outside_corner_top_right,1,27,26,0.0,-6.0,0.0,1.2307692307692308,Assets/Mutiny/Art/Tiles/Single/cave_outside_corner_top_right.png,
cave_rock_1,visual,1454,cave_rock_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_rock_1.png,
cave_rock_2,visual,1449,cave_rock_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_rock_2.png,
cave_rock_3,visual,1444,cave_rock_3,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_rock_3.png,
cave_torch,visual,1486,cave_torch,1,64,64,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/cave_torch.png,
clam,visual,570,clam,1,32,37,0.0,5.0,0.0,0.8648648648648649,Assets/Mutiny/Art/Tiles/Single/clam.png,
crows_nest_1,visual,498,crows_nest_1,1,34,31,0.0,-1.0,0.0,1.032258064516129,Assets/Mutiny/Art/Tiles/Single/crows_nest_1.png,
crows_nest_2,visual,501,crows_nest_2,1,34,31,2.0,-1.0,0.058823529411764705,1.032258064516129,Assets/Mutiny/Art/Tiles/Single/crows_nest_2.png,
earth_bottom_left,visual,1552,earth_bottom_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_bottom_left.png,
earth_bottom_middle_2,visual,1364,earth_bottom_middle_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_bottom_middle_2.png,
earth_bottom_middle_3,visual,1361,earth_bottom_middle_3,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_bottom_middle_3.png,
earth_bottom_right,visual,1549,earth_bottom_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_bottom_right.png,
earth_bottom_single,visual,1367,earth_bottom_single,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_bottom_single.png,
earth_edge_left,visual,1540,earth_edge_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_edge_left.png,
earth_edge_middle_1,visual,1537,earth_edge_middle_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_edge_middle_1.png,
earth_edge_middle_2,visual,1534,earth_edge_middle_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_edge_middle_2.png,
earth_edge_right,visual,1543,earth_edge_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_edge_right.png,
earth_single_collum,visual,1415,earth_single_collum,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/earth_single_collum.png,
eartyh_bottom_middle,visual,1546,eartyh_bottom_middle,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/eartyh_bottom_middle.png,
grass,visual,1457,grass,1,18,14,-7.0,-18.0,-0.3888888888888889,2.2857142857142856,Assets/Mutiny/Art/Tiles/Single/grass.png,
grass_overlap_both,visual,1400,grass_overlap_both,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_overlap_both.png,
grass_overlap_left,visual,1403,grass_overlap_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_overlap_left.png,
grass_overlap_left_edge,visual,461,grass_overlap_left_edge,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_overlap_left_edge.png,
grass_overlap_right,visual,1406,grass_overlap_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_overlap_right.png,
grass_overlap_right_edge,visual,458,grass_overlap_right_edge,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_overlap_right_edge.png,
grass_row_left,visual,443,grass_row_left,1,34,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_row_left.png,
grass_row_middle,visual,446,grass_row_middle,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_row_middle.png,
