file,object_index,type,x,y,attribute,value
"level_01.xml","0","potentialWeapons","30","0","dynamite","10"
"level_01.xml","0","potentialWeapons","30","0","luck","1"
"level_01.xml","0","potentialWeapons","30","0","maxChests","1"
"level_01.xml","0","potentialWeapons","30","0","type","potentialWeapons"
"level_01.xml","0","potentialWeapons","30","0","x","30"
"level_01.xml","0","potentialWeapons","30","0","y","0"
"level_01.xml","1","cabinBoyCaptain","46","4","cherryBomb","10"
"level_01.xml","1","cabinBoyCaptain","46","4","dynamite","1"
"level_01.xml","1","cabinBoyCaptain","46","4","luck","2"
"level_01.xml","1","cabinBoyCaptain","46","4","type","cabinBoyCaptain"
"level_01.xml","1","cabinBoyCaptain","46","4","x","46"
"level_01.xml","1","cabinBoyCaptain","46","4","y","4"
"level_01.xml","2","redPirate","17","10","cherryBomb","10"
"level_01.xml","2","redPirate","17","10","luck","5"
"level_01.xml","2","redPirate","17","10","maxChests","1"
"level_01.xml","2","redPirate","17","10","type","redPirate"
"level_01.xml","2","redPirate","17","10","x","17"
"level_01.xml","2","redPirate","17","10","y","10"
"level_01.xml","3","cabinBoy","48","10","cherryBomb","10"
"level_01.xml","3","cabinBoy","48","10","luck","2"
"level_01.xml","3","cabinBoy","48","10","type","cabinBoy"
"level_01.xml","3","cabinBoy","48","10","x","48"
"level_01.xml","3","cabinBoy","48","10","y","10"
"level_01.xml","4","cabinBoy","43","10","cherryBomb","10"
"level_01.xml","4","cabinBoy","43","10","luck","2"
"level_01.xml","4","cabinBoy","43","10","type","cabinBoy"
"level_01.xml","4","cabinBoy","43","10","x","43"
"level_01.xml","4","cabinBoy","43","10","y","10"
"level_01.xml","5","redPirate","12","5","cherryBomb","10"
"level_01.xml","5","redPirate","12","5","luck","5"
"level_01.xml","5","redPirate","12","5","maxChests","1"
"level_01.xml","5","redPirate","12","5","type","redPirate"
"level_01.xml","5","redPirate","12","5","x","12"
"level_01.xml","5","redPirate","12","5","y","5"
"level_01.xml","6","redPirate","7","11","cherryBomb","10"
"level_01.xml","6","redPirate","7","11","luck","5"
"level_01.xml","6","redPirate","7","11","maxChests","1"
"level_01.xml","6","redPirate","7","11","type","redPirate"
"level_01.xml","6","redPirate","7","11","x","7"
"level_01.xml","6","redPirate","7","11","y","11"
"level_01.xml","7","redPirate","29","11","cherryBomb","10"
"level_01.xml","7","redPirate","29","11","luck","5"
