file,object_index,type,x,y
"level_01.xml","0","potentialWeapons","30","0"
"level_01.xml","1","cabinBoyCaptain","46","4"
"level_01.xml","2","redPirate","17","10"
"level_01.xml","3","cabinBoy","48","10"
"level_01.xml","4","cabinBoy","43","10"
"level_01.xml","5","redPirate","12","5"
"level_01.xml","6","redPirate","7","11"
"level_01.xml","7","redPirate","29","11"
"level_01.xml","8","redPirateCaptain","34","11"
"level_01.xml","9","water","17","14"
"level_02.xml","0","potentialWeapons","19","0"
"level_02.xml","1","redPirate","5","21"
"level_02.xml","2","redPirate","38","8"
"level_02.xml","3","squid","10","15"
"level_02.xml","4","squid","25","7"
"level_02.xml","5","squid","42","4"
"level_02.xml","6","redPirate","21","3"
"level_02.xml","7","squid","6","3"
"level_02.xml","8","redPirateCaptain","6","10"
"level_02.xml","9","squid","34","20"
"level_02.xml","10","squid","13","20"
"level_02.xml","11","redPirate","21","13"
"level_02.xml","12","squid","32","13"
"level_02.xml","13","redPirate","44","18"
"level_02.xml","14","redPirate","24","17"
"level_02.xml","15","water","0","26"
"level_03.xml","0","potentialWeapons","20","0"
"level_03.xml","1","blindPirate","32","17"
"level_03.xml","2","redPirate","8","17"
"level_03.xml","3","blindPirate","29","11"
"level_03.xml","4","redPirate","12","11"
"level_03.xml","5","redPirate","5","11"
"level_03.xml","6","blindPirate","34","11"
"level_03.xml","7","redPirateCaptain","9","6"
"level_03.xml","8","blindPirateCaptain","31","6"
"level_03.xml","9","redPirate","12","16"
"level_03.xml","10","water","0","20"
"level_04.xml","0","potentialWeapons","27","5"
"level_04.xml","1","redPirateCaptain","7","4"
"level_04.xml","2","soldierCaptain","48","4"
"level_04.xml","3","soldier","55","13"
"level_04.xml","4","soldier","34","13"
"level_04.xml","5","redPirate","1","13"
"level_04.xml","6","redPirate","21","13"
"level_04.xml","7","redPirate","9","14"
"level_04.xml","8","soldier","45","14"
"level_04.xml","9","soldier","50","9"
"level_04.xml","10","soldier","38","9"
"level_04.xml","11","redPirate","8","9"
"level_04.xml","12","redPirate","18","9"
"level_04.xml","13","water","34","17"
"level_05.xml","0","potentialWeapons","23","0"
"level_05.xml","1","redPirate","30","11"
"level_05.xml","2","monkey","40","11"
"level_05.xml","3","monkey","2","12"
"level_05.xml","4","monkey","13","2"
"level_05.xml","5","monkey","7","7"
"level_05.xml","6","redPirateCaptain","23","6"
"level_05.xml","7","monkey","34","6"
"level_05.xml","8","redPirate","12","13"
"level_05.xml","9","redPirate","34","13"
"level_05.xml","10","water","0","17"
"level_06.xml","0","potentialWeapons","45","3"
"level_06.xml","1","redPirate","59","17"
"level_06.xml","2","oldPirate","51","17"
"level_06.xml","3","redPirate","84","21"
"level_06.xml","4","redPirate","83","21"
"level_06.xml","5","oldPirate","109","21"
"level_06.xml","6","oldPirate","108","21"
"level_06.xml","7","redPirate","71","5"
"level_06.xml","8","redPirate","72","5"
"level_06.xml","9","redPirate","70","5"
"level_06.xml","10","oldPirate","50","5"
"level_06.xml","11","oldPirate","51","5"
"level_06.xml","12","oldPirate","52","5"
"level_06.xml","13","water","0","25"
"level_06.xml","14","redPirateCaptain","8","22"
"level_06.xml","15","redPirate","7","22"
"level_06.xml","16","oldPirateCaptain","21","22"
"level_06.xml","17","oldPirate","22","22"
"level_06.xml","18","oldPirate","61","11"
"level_06.xml","19","redPirate","55","11"
"level_07.xml","0","potentialWeapons","6","2"
"level_07.xml","1","redPirate","0","6"
"level_07.xml","2","redPirateCaptain","2","6"
"level_07.xml","3","bossGuy","19","6"
"level_07.xml","4","water","2","9"
"level_08.xml","0","potentialWeapons","10","5"
"level_08.xml","1","redPirate","11","21"
"level_08.xml","2","parrot","7","21"
"level_08.xml","3","redPirate","11","17"
"level_08.xml","4","parrot","7","17"
"level_08.xml","5","redPirate","11","13"
"level_08.xml","6","parrot","7","13"
"level_08.xml","7","redPirateCaptain","11","9"
"level_08.xml","8","parrot","7","9"
"level_08.xml","9","water","2","31"
"level_08.xml","10","redPirate","11","25"
"level_08.xml","11","parrot","7","25"
"level_09.xml","0","potentialWeapons","21","1"
"level_09.xml","1","rainbowBeard","25","1"
"level_09.xml","2","redPirate","52","20"
"level_09.xml","3","rainbowBeard","53","20"
"level_09.xml","4","rainbowBeard","30","15"
"level_09.xml","5","redPirateCaptain","18","15"
"level_09.xml","6","rainbowBeardCaptain","27","10"
"level_09.xml","7","redPirate","40","10"
"level_09.xml","8","redPirate","8","16"
"level_09.xml","9","rainbowBeard","41","16"
"level_09.xml","10","redPirate","41","21"
"level_09.xml","11","rainbowBeard","9","21"
"level_09.xml","12","water","3","24"
"level_10.xml","0","potentialWeapons","38","0"
"level_10.xml","1","femalePirate","0","26"
"level_10.xml","2","femalePirateCaptain","40","9"
"level_10.xml","3","redPirate","37","5"
"level_10.xml","4","femalePirate","72","16"
"level_10.xml","5","femalePirate","62","20"
"level_10.xml","6","redPirate","15","20"
"level_10.xml","7","femalePirate","31","20"
"level_10.xml","8","femalePirate","45","20"
"level_10.xml","9","redPirate","66","11"
"level_10.xml","10","redPirate","29","24"
"level_10.xml","11","femalePirate","12","14"
"level_10.xml","12","redPirateCaptain","7","14"
"level_10.xml","13","redPirate","74","23"
"level_10.xml","14","redPirate","46","23"
"level_10.xml","15","water","49","29"
"level_11.xml","0","potentialWeapons","23","0"
"level_11.xml","1","crab","38","5"
"level_11.xml","2","crab","5","5"
"level_11.xml","3","crab","28","1"
"level_11.xml","4","crab","16","1"
"level_11.xml","5","water","0","13"
"level_11.xml","6","redPirateCaptain","27","10"
"level_11.xml","7","redPirate","21","10"
"level_11.xml","8","redPirate","6","10"
"level_11.xml","9","redPirate","37","10"
"level_12.xml","0","potentialWeapons","24","1"
"level_12.xml","1","skeletonPirate","11","5"
"level_12.xml","2","skeletonPirate","34","0"
"level_12.xml","3","redPirate","28","17"
"level_12.xml","4","skeletonPirate","23","21"
"level_12.xml","5","skeletonPirate","39","8"
"level_12.xml","6","skeletonPirate","32","10"
"level_12.xml","7","skeletonPirate","12","10"
"level_12.xml","8","skeletonPirate","19","6"
"level_12.xml","9","redPirate","2","6"
"level_12.xml","10","skeletonPirateCaptain","23","6"
"level_12.xml","11","redPirate","41","3"
"level_12.xml","12","skeletonPirate","36","15"
"level_12.xml","13","redPirate","7","15"
"level_12.xml","14","skeletonPirate","5","15"
"level_12.xml","15","skeletonPirate","24","15"
"level_12.xml","16","redPirateCaptain","20","15"
"level_12.xml","17","water","15","23"
"level_13.xml","0","potentialWeapons","58","0"
"level_13.xml","1","shark","86","2"
"level_13.xml","2","shark","57","2"
"level_13.xml","3","shark","14","2"
"level_13.xml","4","redPirate","67","2"
"level_13.xml","5","redPirateCaptain","41","2"
"level_13.xml","6","shark","43","2"
"level_13.xml","7","redPirate","3","2"
"level_13.xml","8","redPirate","28","2"
"level_13.xml","9","redPirate","50","2"
"level_13.xml","10","shark","36","2"
"level_13.xml","11","water","18","4"
"level_14.xml","0","tribe","27","19"
"level_14.xml","1","tribe","18","11"
"level_14.xml","2","potentialWeapons","25","0"
"level_14.xml","3","redPirate","9","14"
"level_14.xml","4","tribe","38","14"
"level_14.xml","5","tribeChief","34","8"
"level_14.xml","6","redPirateCaptain","12","10"
"level_14.xml","7","redPirate","18","17"
"level_14.xml","8","tribe","27","12"
"level_14.xml","9","tribe","33","24"
"level_14.xml","10","redPirate","16","24"
"level_14.xml","11","water","5","28"
"level_15.xml","0","redPirate","20","8"
"level_15.xml","1","redPirate","65","8"
"level_15.xml","2","bossGuyZombie","43","8"
"level_15.xml","3","redPirate","13","11"
"level_15.xml","4","potentialWeapons","54","10"
"level_15.xml","5","redPirate","61","12"
"level_15.xml","6","redPirate","24","12"
"level_15.xml","7","water","22","17"
"level_15.xml","8","redPirateCaptain","29","14"
"level_15.xml","9","redPirate","53","14"
"level_16.xml","0","bluePirate","37","3"
"level_16.xml","1","redPirate","23","3"
"level_16.xml","2","potentialWeapons","30","0"
"level_16.xml","3","bluePirate","46","4"
"level_16.xml","4","bluePirate","16","10"
"level_16.xml","5","redPirate","1","10"
"level_16.xml","6","bluePirate","3","5"
"level_16.xml","7","redPirate","12","5"
"level_16.xml","8","redPirate","46","11"
"level_16.xml","9","bluePirateCaptain","35","11"
"level_16.xml","10","redPirateCaptain","27","11"
"level_16.xml","11","water","17","14"
"level_17.xml","0","potentialWeapons","18","0"
"level_17.xml","1","redPirate","5","22"
"level_17.xml","2","bluePirate","41","9"
"level_17.xml","3","redPirate","23","8"
"level_17.xml","4","redPirateCaptain","42","5"
"level_17.xml","5","bluePirateCaptain","8","4"
"level_17.xml","6","redPirate","6","11"
"level_17.xml","7","bluePirate","34","21"
"level_17.xml","8","bluePirate","13","21"
"level_17.xml","9","bluePirate","22","14"
"level_17.xml","10","bluePirate","32","14"
"level_17.xml","11","redPirate","43","19"
"level_17.xml","12","redPirate","24","18"
"level_17.xml","13","water","0","27"
"level_18.xml","0","potentialWeapons","20","1"
"level_18.xml","1","redPirate","11","9"
"level_18.xml","2","redPirate","6","9"
"level_18.xml","3","bluePirate","29","9"
"level_18.xml","4","bluePirate","34","9"
"level_18.xml","5","bluePirateCaptain","32","4"
"level_18.xml","6","redPirateCaptain","8","4"
"level_18.xml","7","bluePirate","35","14"
"level_18.xml","8","bluePirate","28","14"
"level_18.xml","9","redPirate","5","14"
"level_18.xml","10","redPirate","12","14"
"level_18.xml","11","water","0","18"
