"OriginalClass","Line","Sound"
"Anchor","117","anchor"
"Banana","40","banana_bounce"
"Cannon","177","cannon explosion"
"TreasureChest","35","chest_appear"
"TreasureChest","219","click"
"Character","162","die"
"ParachuteBomb","105","fan"
"Character","717","hitwall"
"TreasureChest","164","icon_collect"
"Mine","51","mine_beep"
"Seagull","104","poop"
"Banana","112","pop"
"Cannonball","53","pop"
"CherryBomb","38","pop"
"Dynamite","50","pop"
"Mine","155","pop"
"ParachuteBomb","46","pop"
"PiecesOfEight","78","pop"
"RumBottle","51","pop"
"Solid","53","splash"
"TileSystem","698","voodoo"
"VoodooDoll","97","voodoo"
