owner,source,line,evidence
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,27,this.prev_button.onRollOver = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,31,this.prev_button.onRollOut = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,35,this.prev_button.onPress = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,39,this.next_button.onRollOver = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,43,this.next_button.onRollOut = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,47,this.next_button.onPress = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,51,this.play_button.onRollOver = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,55,this.play_button.onRollOut = function()
com.nitrome.buttons.LevelSelect2p,__Packages/com/nitrome/buttons/LevelSelect2p.as,59,this.play_button.onPress = function()
com.nitrome.buttons.LevelSelectButton,__Packages/com/nitrome/buttons/LevelSelectButton.as,36,this.onRollOver = this.doRollOver;
com.nitrome.buttons.LevelSelectButton,__Packages/com/nitrome/buttons/LevelSelectButton.as,37,this.onRollOut = this.doRollOut;
com.nitrome.buttons.LevelSelectButton,__Packages/com/nitrome/buttons/LevelSelectButton.as,38,this.onPress = this.doPress;
com.nitrome.game.Preloader,__Packages/com/nitrome/game/Preloader.as,14,this.onEnterFrame = function()
com.nitrome.throwgame.Character,__Packages/com/nitrome/throwgame/Character.as,65,this.mc.onPress = null;
com.nitrome.throwgame.Controller,__Packages/com/nitrome/throwgame/Controller.as,46,com.nitrome.throwgame.Controller.holder.onEnterFrame = com.nitrome.throwgame.Controller.enterFrame;
com.nitrome.throwgame.Controller,__Packages/com/nitrome/throwgame/Controller.as,121,com.nitrome.throwgame.Controller.holder.onEnterFrame = null;
com.nitrome.throwgame.TileSystem,__Packages/com/nitrome/throwgame/TileSystem.as,27,"com.nitrome.throwgame.Controller.content.onMouseDown = mx.utils.Delegate.create(this,this.mouseDown);"
com.nitrome.throwgame.TileSystem,__Packages/com/nitrome/throwgame/TileSystem.as,28,"com.nitrome.throwgame.Controller.content.onMouseUp = mx.utils.Delegate.create(this,this.mouseUp);"
com.nitrome.throwgame.TileSystem,__Packages/com/nitrome/throwgame/TileSystem.as,42,this.xml.onLoad = function(success)
com.nitrome.throwgame.VoodooDoll,__Packages/com/nitrome/throwgame/VoodooDoll.as,35,this.mc.onPress = null;
mx.core.UIObject,__Packages/mx/core/UIObject.as,158,this.onEnterFrame = this.doLaterDispatcher;
mx.core.UIObject,__Packages/mx/core/UIObject.as,186,this.onEnterFrame = this.doLaterDispatcher;
mx.events.UIEventDispatcher,__Packages/mx/events/UIEventDispatcher.as,35,if(obj.onLoad == undefined)
mx.events.UIEventDispatcher,__Packages/mx/events/UIEventDispatcher.as,37,obj.onLoad = mx.events.UIEventDispatcher._fEventDispatcher.onLoad;
mx.managers.OverlappedWindows,__Packages/mx/managers/OverlappedWindows.as,189,mx.managers.SystemManager.onMouseDown = mx.managers.OverlappedWindows.onMouseDown;
mx.managers.OverlappedWindows,__Packages/mx/managers/OverlappedWindows.as,191,mx.managers.SystemManager.onMouseUp = mx.managers.OverlappedWindows.onMouseUp;
mx.skins.ColoredSkinElement,__Packages/mx/skins/ColoredSkinElement.as,24,this.onEnterFrame = undefined;
mx.skins.ColoredSkinElement,__Packages/mx/skins/ColoredSkinElement.as,28,this.onEnterFrame = this.draw;
