class,field,static,source,line,declaration
com.nitrome.buttons.BackButton,_name,False,__Packages/com/nitrome/buttons/BackButton.as,5,var _name;
com.nitrome.buttons.LevelSelect2p,content_clip,False,__Packages/com/nitrome/buttons/LevelSelect2p.as,5,var content_clip;
com.nitrome.buttons.LevelSelect2p,next_button,False,__Packages/com/nitrome/buttons/LevelSelect2p.as,6,var next_button;
com.nitrome.buttons.LevelSelect2p,play_button,False,__Packages/com/nitrome/buttons/LevelSelect2p.as,7,var play_button;
com.nitrome.buttons.LevelSelect2p,prev_button,False,__Packages/com/nitrome/buttons/LevelSelect2p.as,8,var prev_button;
com.nitrome.buttons.LevelSelect2p,level_id,False,__Packages/com/nitrome/buttons/LevelSelect2p.as,9,var level_id = 16;
com.nitrome.buttons.LevelSelect2p,min_level_id,False,__Packages/com/nitrome/buttons/LevelSelect2p.as,10,var min_level_id = 16;
com.nitrome.buttons.LevelSelect2p,max_level_id,False,__Packages/com/nitrome/buttons/LevelSelect2p.as,11,var max_level_id = 33;
com.nitrome.buttons.LevelSelectButton,id,False,__Packages/com/nitrome/buttons/LevelSelectButton.as,5,var id;
com.nitrome.buttons.LevelSelectButton,level_number,False,__Packages/com/nitrome/buttons/LevelSelectButton.as,6,var level_number;
com.nitrome.buttons.LevelSelectButton,onPress,False,__Packages/com/nitrome/buttons/LevelSelectButton.as,7,var onPress;
com.nitrome.buttons.LevelSelectButton,onRollOut,False,__Packages/com/nitrome/buttons/LevelSelectButton.as,8,var onRollOut;
com.nitrome.buttons.LevelSelectButton,onRollOver,False,__Packages/com/nitrome/buttons/LevelSelectButton.as,9,var onRollOver;
com.nitrome.buttons.LevelSelectButton,pirate_clip,False,__Packages/com/nitrome/buttons/LevelSelectButton.as,10,var pirate_clip;
com.nitrome.buttons.LevelSelectButton,question_mark,False,__Packages/com/nitrome/buttons/LevelSelectButton.as,11,var question_mark;
com.nitrome.buttons.SubmitScoreButton,_visible,False,__Packages/com/nitrome/buttons/SubmitScoreButton.as,5,var _visible;
com.nitrome.game.CancelPlayerButton,_parent,False,__Packages/com/nitrome/game/CancelPlayerButton.as,5,var _parent;
com.nitrome.game.CancelPlayerButton,_visible,False,__Packages/com/nitrome/game/CancelPlayerButton.as,6,var _visible;
com.nitrome.game.IngamePopup,finalScore,False,__Packages/com/nitrome/game/IngamePopup.as,5,var finalScore;
com.nitrome.game.IngamePopup,levelScore,False,__Packages/com/nitrome/game/IngamePopup.as,6,var levelScore;
com.nitrome.game.IngamePopup,totalScore,False,__Packages/com/nitrome/game/IngamePopup.as,7,var totalScore;
com.nitrome.game.IngamePopup,show,False,__Packages/com/nitrome/game/IngamePopup.as,8,var show = false;
com.nitrome.game.IngameTextArea,lines,False,__Packages/com/nitrome/game/IngameTextArea.as,5,var lines;
com.nitrome.game.IngameTextArea,textField,False,__Packages/com/nitrome/game/IngameTextArea.as,6,var textField;
com.nitrome.game.IngameTextArea,thisLineFrame,False,__Packages/com/nitrome/game/IngameTextArea.as,7,var thisLineFrame = 0;
com.nitrome.game.MusicController,game_sound,False,__Packages/com/nitrome/game/MusicController.as,5,var game_sound;
com.nitrome.game.MusicController,menu_sound,False,__Packages/com/nitrome/game/MusicController.as,6,var menu_sound;
com.nitrome.game.MusicController,music_type,False,__Packages/com/nitrome/game/MusicController.as,7,var music_type;
com.nitrome.game.MusicController,start,False,__Packages/com/nitrome/game/MusicController.as,8,var start;
