symbol_id,frame,label
330,1,up
330,10,over
333,1,up
333,10,over
335,1,up
335,10,over
337,1,up
337,10,over
339,1,up
339,10,over
341,1,up
341,10,over
342,1,level_complete_1p
342,11,game_complete_1p
342,21,level_failed_1p
342,31,quit_prompt
342,41,vs_1p_wins
342,51,vs_2p_wins
342,61,vs_draw
349,1,_on_up
349,6,_on_over
349,11,_off_up
349,16,_off_over
354,1,_on_up
354,6,_on_over
354,11,_off_up
354,16,_off_over
358,1,up
358,6,over
582,1,up
582,10,over
586,1,up
586,10,over
589,1,up
589,10,over
631,1,up
631,10,over
669,1,up
669,10,over
672,1,up
672,10,over
674,1,up
674,10,over
676,1,up
676,10,over
678,1,up
678,10,over
680,1,up
680,10,over
682,1,up
682,10,over
799,1,up
799,10,over
804,1,disabled
804,10,up
804,19,over
806,1,up
806,10,over
809,1,up
809,5,over
818,1,on
818,10,off
821,1,up
821,10,over
823,1,up
823,10,over
828,1,loading
828,10,reveal
828,36,off
881,1,lit
881,6,unlit
939,1,closed
939,11,opening
939,26,open
965,11,explode
968,11,explode
982,1,flying
982,11,shot
1024,1,in_throw
1024,11,arm
1024,21,warn
1058,1,anim1
1058,10,anim2
1058,19,anim3
1077,1,static
1077,15,hit
1086,1,static
1086,15,hit
1097,1,static
1097,15,hit
1106,1,static
1106,15,hit
1117,1,static
1117,15,hit
1126,1,static
1126,15,hit
1137,1,static
1137,15,hit
1148,1,static
1148,15,hit
1157,1,static
1157,15,hit
1166,1,static
1166,15,hit
1175,1,static
1175,15,hit
1186,1,static
1186,15,hit
1197,1,static
1197,15,hit
1206,1,static
1206,15,hit
1217,1,static
1217,15,hit
1228,1,static
1228,15,hit
1237,1,static
1237,15,hit
1248,1,static
1248,15,hit
1259,1,static
1259,15,hit
1270,1,static
1270,15,hit
1281,1,static
1281,15,hit
1290,1,static
1290,15,hit
1299,1,static
1299,15,hit
1310,1,static
1310,15,hit
1321,1,static
1321,15,hit
1324,1,static
1324,15,hit
1331,1,static
1331,15,hit
1651,1,water1
1651,11,water2
1651,21,water3
1720,1,blank
1720,11,dynamite
1720,21,parachuteBomb
1720,31,cherryBomb
1720,41,rumBottle
1720,51,banana
1720,61,piecesOfEight
1720,71,anchor
1720,81,mine
1720,91,boulder
1720,101,seagull
1720,111,voodooDoll
1720,121,cannon
1720,131,tidalWave
1720,141,woodenCrate
1720,151,gunpowderBarrel
1720,161,heart
1723,1,red
1723,11,blue
1725,1,static
1725,10,falling
1725,20,touchdown
1725,35,open
1725,44,weapon_out
1725,81,fade_out
1780,1,splash1
1780,25,splash2
1780,49,splash3
1813,1,anchor
1813,11,gunpowderBarrel
1813,20,seagull
1813,30,tidalWave
1813,40,voodooDoll
1813,50,woodenCrate
1813,60,fan
1813,69,cross
1813,78,scroll1
1813,87,scroll2
1817,1,_up
1817,10,_over
1820,1,_up
1820,10,_over
1831,1,disabled
1831,11,red_up
1831,21,red_over
1831,31,blue_up
1831,41,blue_over
1839,1,disabled
1839,10,red_up
1839,19,red_over
1839,29,blue_up
1839,38,blue_over
1844,1,red_up
1844,10,red_over
1844,20,blue_up
1844,29,blue_over
1847,1,_up
1847,10,_over
1850,1,_up
1850,10,_over
1855,1,red
1855,11,blue
1884,1,p1
1884,11,p2
1884,21,cpu
1998,1,background1
1998,11,background2
1998,21,background3
