symbol_id,tag_type,linkage_names,timeline_frames
5,DefineSpriteTag,__Packages.mx.core.UIObject,0
6,DefineSpriteTag,__Packages.mx.core.UIComponent,0
7,DefineSpriteTag,__Packages.DangleFont,0
150,DefineSpriteTag,__Packages.mx.skins.SkinElement,0
151,DefineSpriteTag,__Packages.mx.styles.CSSTextStyles,0
152,DefineSpriteTag,__Packages.mx.styles.StyleManager,0
153,DefineSpriteTag,__Packages.mx.styles.CSSStyleDeclaration,0
2012,DefineSpriteTag,__Packages.com.nitrome.pirate.MenuBackgroundAnim,0
2013,DefineSpriteTag,__Packages.com.nitrome.game.Preloader,0
2014,DefineSpriteTag,__Packages.NitromeGame,0
2015,DefineSpriteTag,__Packages.com.nitrome.util.MD5,0
2016,DefineSpriteTag,__Packages.com.nitrome.game.TransitionTween,0
2017,DefineSpriteTag,__Packages.com.nitrome.buttons.SimpleButton,0
2018,DefineSpriteTag,__Packages.com.nitrome.buttons.QuitGameButton,0
2019,DefineSpriteTag,__Packages.com.nitrome.throwgame.Controller,0
2020,DefineSpriteTag,__Packages.com.nitrome.game.IngameTextArea,0
2021,DefineSpriteTag,__Packages.com.nitrome.throwgame.TileSystem,0
2022,DefineSpriteTag,__Packages.com.nitrome.util.Clip,0
2023,DefineSpriteTag,__Packages.com.nitrome.throwgame.Solid,0
2024,DefineSpriteTag,__Packages.com.nitrome.throwgame.Debris,0
2025,DefineSpriteTag,__Packages.com.senocular.drawing.DashedLine,0
2026,DefineSpriteTag,__Packages.com.nitrome.throwgame.Weapon,0
2027,DefineSpriteTag,__Packages.com.nitrome.util.Trig,0
2028,DefineSpriteTag,__Packages.com.nitrome.throwgame.BoxWeapon,0
2029,DefineSpriteTag,__Packages.com.nitrome.throwgame.GunpowderBarrel,0
2030,DefineSpriteTag,__Packages.com.nitrome.throwgame.Explosion,0
2031,DefineSpriteTag,__Packages.com.nitrome.throwgame.Team,0
2032,DefineSpriteTag,__Packages.com.nitrome.util.Global,0
2033,DefineSpriteTag,__Packages.com.nitrome.throwgame.WoodenCrate,0
2034,DefineSpriteTag,__Packages.com.nitrome.throwgame.TreasureChest,0
2035,DefineSpriteTag,__Packages.com.nitrome.game.SimpleButton,0
2036,DefineSpriteTag,__Packages.com.nitrome.game.WeaponSelectButton,0
2037,DefineSpriteTag,__Packages.com.nitrome.game.WeaponSelectPanel,0
2038,DefineSpriteTag,__Packages.com.nitrome.throwgame.Tile,0
2039,DefineSpriteTag,__Packages.com.nitrome.throwgame.Character,0
2040,DefineSpriteTag,__Packages.com.nitrome.throwgame.VoodooDoll,0
2041,DefineSpriteTag,__Packages.com.nitrome.throwgame.Seagull,0
2042,DefineSpriteTag,__Packages.com.nitrome.throwgame.Anchor,0
2043,DefineSpriteTag,__Packages.com.nitrome.throwgame.Banana,0
2044,DefineSpriteTag,__Packages.com.nitrome.throwgame.Boulder,0
2045,DefineSpriteTag,__Packages.com.nitrome.throwgame.Cannon,0
2046,DefineSpriteTag,__Packages.com.nitrome.throwgame.Cannonball,0
2047,DefineSpriteTag,__Packages.com.nitrome.throwgame.CherryBomb,0
2048,DefineSpriteTag,__Packages.com.nitrome.throwgame.Dynamite,0
2049,DefineSpriteTag,__Packages.com.nitrome.throwgame.Mine,0
2050,DefineSpriteTag,__Packages.com.nitrome.throwgame.ParachuteBomb,0
2051,DefineSpriteTag,__Packages.com.nitrome.throwgame.PiecesOfEight,0
2052,DefineSpriteTag,__Packages.com.nitrome.throwgame.RumBottle,0
2053,DefineSpriteTag,__Packages.com.nitrome.throwgame.SweepingFlame,0
2054,DefineSpriteTag,__Packages.com.nitrome.throwgame.TidalWave,0
2055,DefineSpriteTag,__Packages.mx.utils.Delegate,0
2056,DefineSpriteTag,__Packages.com.nitrome.throwgame.Water,0
2057,DefineSpriteTag,__Packages.com.nitrome.throwgame.SpeechBubble,0
2058,DefineSpriteTag,__Packages.com.nitrome.util.CustomCursor,0
2059,DefineSpriteTag,__Packages.com.nitrome.throwgame.Map,0
2060,DefineSpriteTag,__Packages.com.nitrome.game.IngamePopup,0
2061,DefineSpriteTag,__Packages.com.nitrome.buttons.CongratulationsButton,0
2062,DefineSpriteTag,__Packages.com.nitrome.buttons.SubmitScoreButton,0
2063,DefineSpriteTag,__Packages.com.nitrome.buttons.RestartLevelButton,0
2064,DefineSpriteTag,__Packages.com.nitrome.buttons.ContinueGameButton,0
2065,DefineSpriteTag,__Packages.com.nitrome.game.FxToggle,0
2066,DefineSpriteTag,__Packages.com.nitrome.game.MusicToggle,0
2067,DefineSpriteTag,__Packages.com.nitrome.game.CornerQuitButton,0
2068,DefineSpriteTag,__Packages.com.nitrome.game.SfxManager,0
2069,DefineSpriteTag,__Packages.com.nitrome.game.MusicController,0
2070,DefineSpriteTag,__Packages.com.nitrome.buttons.LevelSelect2p,0
2071,DefineSpriteTag,__Packages.com.nitrome.buttons.BackButton,0
2072,DefineSpriteTag,__Packages.com.nitrome.buttons.LevelSelectButton,0
2073,DefineSpriteTag,__Packages.com.nitrome.buttons.OnePlayerButton,0
2074,DefineSpriteTag,__Packages.com.nitrome.buttons.TwoPlayerButton,0
2075,DefineSpriteTag,__Packages.com.nitrome.buttons.PlayButton,0
2076,DefineSpriteTag,__Packages.com.nitrome.buttons.ScoresButton,0
