symbol_id,bounds_type,xmin_px,ymin_px,xmax_px,ymax_px
2,shapeBounds,-70.0,-13.5,70.0,13.5
3,shapeBounds,-14.0,-1.0,-13.0,1.0
8,shapeBounds,0.0,0.0,100.0,100.0
11,shapeBounds,0.0,0.0,8.0,11.0
14,shapeBounds,0.0,0.0,6.0,11.0
17,shapeBounds,0.0,0.0,8.0,11.0
20,shapeBounds,0.0,0.0,8.0,11.0
23,shapeBounds,0.0,0.0,8.0,11.0
26,shapeBounds,0.0,0.0,8.0,11.0
29,shapeBounds,0.0,0.0,8.0,11.0
32,shapeBounds,0.0,0.0,8.0,11.0
35,shapeBounds,0.0,0.0,8.0,11.0
38,shapeBounds,0.0,0.0,8.0,11.0
41,shapeBounds,0.0,0.0,8.0,11.0
44,shapeBounds,0.0,0.0,8.0,11.0
47,shapeBounds,0.0,0.0,8.0,11.0
50,shapeBounds,0.0,0.0,8.0,11.0
53,shapeBounds,0.0,0.0,8.0,11.0
56,shapeBounds,0.0,0.0,4.0,11.0
59,shapeBounds,0.0,0.0,8.0,11.0
62,shapeBounds,0.0,0.0,8.0,11.0
65,shapeBounds,0.0,0.0,8.0,11.0
68,shapeBounds,0.0,0.0,4.0,11.0
71,shapeBounds,0.0,0.0,8.0,11.0
74,shapeBounds,0.0,0.0,8.0,11.0
77,shapeBounds,0.0,0.0,8.0,11.0
80,shapeBounds,0.0,0.0,12.0,11.0
83,shapeBounds,0.0,0.0,8.0,11.0
87,shapeBounds,0.0,0.0,8.0,11.0
90,shapeBounds,0.0,0.0,9.0,11.0
94,shapeBounds,0.0,0.0,8.0,11.0
97,shapeBounds,0.0,0.0,8.0,11.0
100,shapeBounds,0.0,0.0,8.0,11.0
103,shapeBounds,0.0,0.0,4.0,11.0
106,shapeBounds,0.0,0.0,4.0,11.0
109,shapeBounds,0.0,0.0,8.0,11.0
112,shapeBounds,0.0,0.0,8.0,11.0
115,shapeBounds,0.0,0.0,8.0,11.0
118,shapeBounds,0.0,0.0,12.0,11.0
121,shapeBounds,0.0,0.0,8.0,11.0
124,shapeBounds,0.0,0.0,8.0,11.0
127,shapeBounds,0.0,0.0,8.0,11.0
132,edgeBounds,0.0,0.0,27.0,27.0
132,shapeBounds,-0.5,-0.5,27.5,27.5
133,edgeBounds,0.0,0.0,27.0,27.0
133,shapeBounds,-0.5,-0.5,27.5,27.5
141,shapeBounds,0.0,0.0,3.95,11.95
144,shapeBounds,0.0,0.0,3.95,10.95
147,shapeBounds,0.0,0.0,7.95,10.95
169,shapeBounds,0.0,0.0,549.9,399.7
174,shapeBounds,197.0,12.0,1831.0,183.0
177,shapeBounds,0.0,0.0,1640.9,290.95
180,shapeBounds,71.0,6.0,1918.0,195.0
183,shapeBounds,0.0,246.0,1099.8,399.95
185,shapeBounds,0.0,0.0,550.0,400.0
189,shapeBounds,0.0,-30.0,1024.0,354.0
194,shapeBounds,0.0,0.0,16.0,18.0
197,shapeBounds,0.0,0.0,15.0,23.0
200,shapeBounds,0.0,0.0,26.0,23.0
203,shapeBounds,0.0,0.0,16.0,18.0
206,shapeBounds,0.0,0.0,16.0,18.0
209,shapeBounds,0.0,0.0,16.0,18.0
212,shapeBounds,0.0,0.0,16.0,18.0
215,shapeBounds,0.0,0.0,16.0,18.0
218,shapeBounds,0.0,0.0,16.0,18.0
221,shapeBounds,0.0,0.0,16.0,18.0
224,shapeBounds,0.0,0.0,26.0,23.0
227,shapeBounds,0.0,0.0,23.0,23.0
230,shapeBounds,0.0,0.0,24.0,23.0
233,shapeBounds,0.0,0.0,24.0,23.0
236,shapeBounds,0.0,0.0,26.0,23.0
239,shapeBounds,0.0,0.0,10.0,18.0
242,shapeBounds,0.0,0.0,22.0,23.0
245,shapeBounds,0.0,0.0,24.0,26.0
248,shapeBounds,0.0,0.0,25.0,23.0
251,shapeBounds,0.0,0.0,15.0,23.0
254,shapeBounds,0.0,0.0,22.0,26.0
257,shapeBounds,0.0,0.0,38.0,31.0
260,shapeBounds,0.0,0.0,23.0,23.0
263,shapeBounds,0.0,0.0,28.0,23.0
266,shapeBounds,0.0,-2.0,40.0,31.0
269,shapeBounds,0.0,0.0,24.0,23.0
272,shapeBounds,0.0,-1.0,23.0,23.0
275,shapeBounds,0.0,0.0,26.0,27.0
278,shapeBounds,0.0,0.0,16.0,18.0
281,shapeBounds,0.0,-1.0,39.0,30.0
284,shapeBounds,0.0,0.0,22.0,23.0
286,shapeBounds,-5.0,-9.0,5.0,9.0
290,shapeBounds,0.0,0.0,10.0,18.0
293,shapeBounds,0.0,0.0,23.0,23.0
296,shapeBounds,0.0,0.0,24.0,23.0
299,shapeBounds,0.0,0.0,26.0,23.0
302,shapeBounds,0.0,0.0,35.0,23.0
305,shapeBounds,0.0,0.0,26.0,23.0
308,shapeBounds,0.0,0.0,23.0,23.0
311,shapeBounds,0.0,0.0,23.0,23.0
314,shapeBounds,0.0,0.0,16.0,18.0
317,shapeBounds,0.0,0.0,10.0,20.0
320,shapeBounds,0.0,0.0,550.0,400.0
323,shapeBounds,-276.0,-201.0,276.0,201.0
326,shapeBounds,-175.0,-130.0,174.95,129.95
328,shapeBounds,-140.0,0.0,140.0,24.0
331,shapeBounds,-140.0,0.0,140.0,24.0
344,shapeBounds,-6.95,-6.95,7.0,6.95
346,shapeBounds,-31.0,10.0,16.0,27.0
348,shapeBounds,-5.6,-6.6,8.35,7.35
351,shapeBounds,-9.95,-6.95,10.0,6.95
353,shapeBounds,-15.05,10.0,15.95,27.0
355,shapeBounds,-6.95,-6.95,7.0,6.95
357,shapeBounds,-11.0,10.0,11.9,26.9
359,edgeBounds,0.0,0.0,190.0,16.0
359,shapeBounds,-0.5,-0.5,190.5,16.5
435,edgeBounds,0.0,0.0,16.0,16.0
435,shapeBounds,-0.5,-0.5,16.5,16.5
442,shapeBounds,0.0,0.0,34.0,32.0
445,shapeBounds,0.0,0.0,32.0,32.0
448,shapeBounds,0.0,0.0,34.0,32.0
451,shapeBounds,0.0,0.0,32.0,32.0
454,shapeBounds,0.0,0.0,32.0,32.0
