symbol_id,tag_type,linkage_names,timeline_frames,bitmap_width,bitmap_height
1,DefineBitsLossless2Tag,,,397,27
2,DefineShapeTag,,,,
3,DefineShapeTag,,,,
4,DefineSpriteTag,,1,,
5,DefineSpriteTag,__Packages.mx.core.UIObject,0,,
6,DefineSpriteTag,__Packages.mx.core.UIComponent,0,,
7,DefineSpriteTag,__Packages.DangleFont,0,,
8,DefineShapeTag,,,,
9,DefineSpriteTag,BoundingBox,1,,
10,DefineBitsLossless2Tag,,,8,11
11,DefineShapeTag,,,,
12,DefineSpriteTag,text_0,1,,
13,DefineBitsLossless2Tag,,,6,11
14,DefineShapeTag,,,,
15,DefineSpriteTag,text_1,1,,
16,DefineBitsLossless2Tag,,,8,11
17,DefineShapeTag,,,,
18,DefineSpriteTag,text_2,1,,
19,DefineBitsLossless2Tag,,,8,11
20,DefineShapeTag,,,,
21,DefineSpriteTag,text_3,1,,
22,DefineBitsLossless2Tag,,,8,11
23,DefineShapeTag,,,,
24,DefineSpriteTag,text_4,1,,
25,DefineBitsLossless2Tag,,,8,11
26,DefineShapeTag,,,,
27,DefineSpriteTag,text_5,1,,
28,DefineBitsLossless2Tag,,,8,11
29,DefineShapeTag,,,,
30,DefineSpriteTag,text_6,1,,
31,DefineBitsLossless2Tag,,,8,11
32,DefineShapeTag,,,,
33,DefineSpriteTag,text_7,1,,
34,DefineBitsLossless2Tag,,,8,11
35,DefineShapeTag,,,,
36,DefineSpriteTag,text_8,1,,
37,DefineBitsLossless2Tag,,,8,11
38,DefineShapeTag,,,,
39,DefineSpriteTag,text_9,1,,
40,DefineBitsLossless2Tag,,,8,11
41,DefineShapeTag,,,,
42,DefineSpriteTag,text_a,1,,
43,DefineBitsLossless2Tag,,,8,11
44,DefineShapeTag,,,,
45,DefineSpriteTag,text_b,1,,
46,DefineBitsLossless2Tag,,,8,11
47,DefineShapeTag,,,,
48,DefineSpriteTag,text_c,1,,
49,DefineBitsLossless2Tag,,,8,11
50,DefineShapeTag,,,,
51,DefineSpriteTag,text_d,1,,
52,DefineBitsLossless2Tag,,,8,11
53,DefineShapeTag,,,,
54,DefineSpriteTag,text_e,1,,
55,DefineBitsLossless2Tag,,,4,11
56,DefineShapeTag,,,,
57,DefineSpriteTag,text_exclamation,1,,
58,DefineBitsLossless2Tag,,,8,11
59,DefineShapeTag,,,,
60,DefineSpriteTag,text_f,1,,
61,DefineBitsLossless2Tag,,,8,11
62,DefineShapeTag,,,,
63,DefineSpriteTag,text_g,1,,
64,DefineBitsLossless2Tag,,,8,11
65,DefineShapeTag,,,,
66,DefineSpriteTag,text_h,1,,
67,DefineBitsLossless2Tag,,,4,11
68,DefineShapeTag,,,,
69,DefineSpriteTag,text_i,1,,
70,DefineBitsLossless2Tag,,,8,11
71,DefineShapeTag,,,,
72,DefineSpriteTag,text_j,1,,
73,DefineBitsLossless2Tag,,,8,11
