"level","filename","sha256","players","width","height","objects","source_url"
"16","753468d1dc28135f5263cda8971ee44d.xml","c6bff23487cfb3f35b12bcd0e07e1afef4cd1241fcf480099d42f56edc88fdd6","1","50","17","12","http://www.nitrome.com/games/mutiny/levels/753468d1dc28135f5263cda8971ee44d.xml"
"17","0ad8f362b5adbad1c07b4a02f6c56721.xml","e4318a5f6491ea4ef0d211427bff99e350a43d0bc14516fe302df6d1c1159282","1","47","28","14","http://www.nitrome.com/games/mutiny/levels/0ad8f362b5adbad1c07b4a02f6c56721.xml"
"18","b94785fb9884314d150e4d6f4f6db771.xml","72f61c506eb11064695208f664679e263ed3b3f6d7db7d41d57bdd57de8e3fb6","1","40","21","12","http://www.nitrome.com/games/mutiny/levels/b94785fb9884314d150e4d6f4f6db771.xml"
"19","a0e85c195401162fef3700abd1525870.xml","980a9b9518d4670e369b6b20f888d7d141befe04efbe11e774ed81c524538a2f","1","56","18","14","http://www.nitrome.com/games/mutiny/levels/a0e85c195401162fef3700abd1525870.xml"
"20","37d6fd206b7008da8b936fae8c5e8c30.xml","cdcc913214cac913a25c062812c1a3baca083ccf7bc354831165d1583c369cd3","1","44","18","12","http://www.nitrome.com/games/mutiny/levels/37d6fd206b7008da8b936fae8c5e8c30.xml"
"21","55bdecaece4b4daff0288472c3203147.xml","d8bf4ffa76c953a3b70072589d041a6a031df61665232a926101089f3bea567a","2","63","35","14","http://www.nitrome.com/games/mutiny/levels/55bdecaece4b4daff0288472c3203147.xml"
"22","7e10e32d8c030522b8a1e783a0ad1704.xml","1463d322472b8b614dc7045bfcefeaf7d8cb7c114ceb23a3df55ab7d322e17ad","2","115","28","30","http://www.nitrome.com/games/mutiny/levels/7e10e32d8c030522b8a1e783a0ad1704.xml"
"23","99cc2f1b50e46b11dbff5ed1b3aebb79.xml","919e21946c6be57630aaea3582b2e65a0e18af19981b77a1d347f2822541b36d","2","24","16","6","http://www.nitrome.com/games/mutiny/levels/99cc2f1b50e46b11dbff5ed1b3aebb79.xml"
"24","3388937dc4dc977d2ec96853d0b613fd.xml","fabda990e67071c3d63e6c2326199805e5fb61320d53781314c5a9c19257cb74","2","23","34","12","http://www.nitrome.com/games/mutiny/levels/3388937dc4dc977d2ec96853d0b613fd.xml"
"25","bf232e635246bd73eba74bf1296eaac3.xml","33a3f500d3e3ae7501c2d9e6103b600d5caa56c72846c68535eb601a598eccb2","2","59","27","14","http://www.nitrome.com/games/mutiny/levels/bf232e635246bd73eba74bf1296eaac3.xml"
"26","c5e926a11b345f39dd09421baa606145.xml","ca3c4c4b278a89a4d659316ff1e78f50ebc28d70889b7da1e7ebc880c04b1a96","2","77","32","16","http://www.nitrome.com/games/mutiny/levels/c5e926a11b345f39dd09421baa606145.xml"
"27","6132f0bfc9335e4c27eeee21191139cc.xml","ef1afe94b2350404a8d95f60721815d9f58271c7e4c5909ce411e0dd712fcf99","2","21","20","4","http://www.nitrome.com/games/mutiny/levels/6132f0bfc9335e4c27eeee21191139cc.xml"
"28","812fc99cf4c5efabfe88c2a3f227500b.xml","61bbe55054be12038e12981df20f3d122fa3cea1586ef2f67a9c2009caa57f4e","2","44","20","10","http://www.nitrome.com/games/mutiny/levels/812fc99cf4c5efabfe88c2a3f227500b.xml"
"29","a4dd7a57f1034c508460bf9a12ef534f.xml","cf121c648d3aba3f863defaa2fa7c69e4444620aa4d94a99ba921f46858aa3a3","2","44","26","14","http://www.nitrome.com/games/mutiny/levels/a4dd7a57f1034c508460bf9a12ef534f.xml"
"30","c0e345dfd5f4316e4056799fb0f6b2a7.xml","070153e13c8f6e92f8f339ec9615bd7b10791410213c9ba9f3af1d6eac736ddf","2","90","12","12","http://www.nitrome.com/games/mutiny/levels/c0e345dfd5f4316e4056799fb0f6b2a7.xml"
"31","96b6cbfe479d2abe955ae47086c64e82.xml","9d87b7e473fd901fc0a271b7d07bb49dc52d47f339e6f291fc069b9e4bcab8d5","2","48","30","10","http://www.nitrome.com/games/mutiny/levels/96b6cbfe479d2abe955ae47086c64e82.xml"
"32","1d58886a0d2153de191f8f03ab4d0832.xml","e9f8dcb1a930fefa9e30492d2ab5d3b440f367aaaa2d1448c05e50ccf33cc973","2","86","20","13","http://www.nitrome.com/games/mutiny/levels/1d58886a0d2153de191f8f03ab4d0832.xml"
"33","e2463aca2c119efa453b24208581e4db.xml","894912030fde01a29d001ade7a66c875e760b81d12d542de16ad6e6e222a984d","1","41","33","18","http://www.nitrome.com/games/mutiny/levels/e2463aca2c119efa453b24208581e4db.xml"
