attribute,value,occurrences
"anchor","1","41"
"anchor","10","1"
"anchor","2","5"
"anchor","3","1"
"anchor","5","1"
"banana","1","64"
"banana","10","7"
"banana","2","17"
"banana","3","1"
"banana","4","2"
"banana","5","6"
"boulder","1","8"
"boulder","10","22"
"boulder","2","7"
"boulder","4","1"
"cannon","1","26"
"cannon","10","13"
"cannon","2","6"
"cannon","5","16"
"cherryBomb","1","17"
"cherryBomb","10","83"
"cherryBomb","2","32"
"cherryBomb","4","6"
"cherryBomb","9","1"
"dynamite","1","73"
"dynamite","10","32"
"dynamite","2","13"
"dynamite","3","1"
"dynamite","4","7"
"dynamite","5","34"
"dynamite","8","1"
"gunpowderBarrel","1","9"
"gunpowderBarrel","10","45"
"gunpowderBarrel","2","18"
"gunpowderBarrel","4","11"
"gunpowderBarrel","5","25"
"luck","1","94"
"luck","10","63"
"luck","2","3"
"luck","20","37"
"luck","25","11"
"luck","30","15"
"luck","5","5"
"maxChests","1","88"
"maxChests","3","62"
"mine","1","57"
"mine","10","12"
"mine","2","6"
"mine","3","1"
"mine","4","10"
"mine","5","14"
"mine","7","1"
"parachuteBomb","1","65"
"parachuteBomb","10","3"
"parachuteBomb","2","10"
"parachuteBomb","3","2"
"parachuteBomb","5","12"
"parachuteBomb","6","1"
"piecesOfEight","1","55"
"piecesOfEight","10","10"
"piecesOfEight","2","5"
"piecesOfEight","3","12"
"piecesOfEight","4","1"
"piecesOfEight","5","2"
"rumBottle","1","29"
"rumBottle","10","33"
"rumBottle","2","28"
"rumBottle","3","15"
"rumBottle","4","6"
"rumBottle","5","1"
"rumBottle","6","1"
"seagull","1","30"
"seagull","10","1"
"seagull","2","9"
"seagull","3","1"
"tidalWave","1","33"
"tidalWave","10","8"
"tidalWave","2","2"
"tidalWave","3","1"
"tidalWave","5","2"
"type","blindPirate","3"
"type","blindPirateCaptain","1"
"type","bluePirate","13"
"type","bluePirateCaptain","3"
"type","bossGuy","1"
"type","bossGuyZombie","1"
"type","cabinBoy","2"
"type","cabinBoyCaptain","1"
"type","crab","4"
"type","femalePirate","6"
"type","femalePirateCaptain","1"
"type","monkey","5"
"type","oldPirate","8"
"type","oldPirateCaptain","1"
"type","parrot","5"
"type","potentialWeapons","18"
"type","rainbowBeard","5"
"type","rainbowBeardCaptain","1"
"type","redPirate","78"
"type","redPirateCaptain","18"
"type","shark","5"
"type","skeletonPirate","10"
"type","skeletonPirateCaptain","1"
"type","soldier","5"
"type","soldierCaptain","1"
"type","squid","7"
"type","tribe","5"
"type","tribeChief","1"
"type","water","18"
"voodooDoll","1","10"
"voodooDoll","10","8"
"voodooDoll","2","1"
"voodooDoll","3","1"
"voodooDoll","5","1"
"woodenCrate","1","9"
"woodenCrate","10","55"
"woodenCrate","2","18"
"woodenCrate","4","11"
"woodenCrate","5","23"
"x","0","9"
"x","1","2"
"x","10","2"
"x","108","1"
"x","109","1"
"x","11","7"
"x","12","9"
"x","13","4"
"x","14","1"
"x","15","2"
"x","16","3"
"x","17","3"
"x","18","6"
"x","19","3"
"x","2","5"
"x","20","4"
"x","21","6"
"x","22","3"
"x","23","7"
"x","24","5"
"x","25","3"
"x","27","6"
"x","28","4"
"x","29","5"
"x","3","3"
"x","30","4"
"x","31","2"
"x","32","5"
"x","33","1"
"x","34","11"
"x","35","2"
"x","36","2"
"x","37","3"
"x","38","5"
"x","39","1"
"x","40","3"
"x","41","5"
"x","42","2"
"x","43","4"
"x","44","1"
"x","45","3"
"x","46","4"
"x","48","2"
"x","49","1"
"x","5","7"
"x","50","3"
"x","51","2"
"x","52","2"
"x","53","2"
"x","54","1"
"x","55","2"
"x","57","1"
"x","58","1"
"x","59","1"
"x","6","6"
"x","61","2"
"x","62","1"
"x","65","1"
"x","66","1"
"x","67","1"
"x","7","11"
"x","70","1"
"x","71","1"
"x","72","2"
"x","74","1"
"x","8","6"
"x","83","1"
"x","84","1"
"x","86","1"
"x","9","4"
"y","0","11"
"y","1","6"
"y","10","16"
"y","11","18"
"y","12","4"
"y","13","11"
"y","14","16"
"y","15","8"
"y","16","4"
"y","17","12"
"y","18","3"
"y","19","2"
"y","2","12"
"y","20","9"
"y","21","12"
"y","22","5"
"y","23","3"
"y","24","4"
"y","25","3"
"y","26","2"
"y","27","1"
"y","28","1"
"y","29","1"
"y","3","6"
"y","31","1"
"y","4","9"
"y","5","16"
"y","6","10"
"y","7","2"
"y","8","7"
"y","9","13"
