file,sha256,width,height,players,name,objects,terrain_types,background_types
"level_01.xml","9fd1803793dac7ba5b27b3f7773df541b99cc99cd79a2c823dce92d89a6e91e9","50","17","1","undefined","10","58","23"
"level_02.xml","3fbe5750a7ce4e0b8c9ead48d75a99ee9b51739ce7b2bc681b9a4487cfb43baa","47","27","1","undefined","16","13","6"
"level_03.xml","de6984242c882c8e080ca8c52fbb36faf9946b2ec7158168f117fa7ef4beef42","40","23","1","undefined","11","51","8"
"level_04.xml","e7582d1e1f97a40b04f31b12558a204a81d48d27e02dd4afcb0b528d2ed9aed9","56","18","1","undefined","14","35","4"
"level_05.xml","feb4079588e6a1cfa354ea8c59b95da182010b13102775b604b267d6876d42d2","44","20","1","undefined","11","17","6"
"level_06.xml","d1060783bd0577f4de2b6b6bdc925efe0f538dfb44908552a7faeb51374c5b05","115","28","1","undefined","20","27","27"
"level_07.xml","60d782443fd684a96f3b82908cf36b9d95547eb4f2eda77907542d5e72921ef8","24","12","1","undefined","5","16","6"
"level_08.xml","80db40ed7bc78e64c1f44f18300fb12de1a24125920ffca0ab9c82b5a49d65a6","20","35","1","undefined","12","21","14"
"level_09.xml","a8448baadebec30839b9f5e53c7ee34b9b424386b2a2ad30bc2f9c546dfdca12","59","25","1","undefined","13","27","5"
"level_10.xml","5f7c45e0526f69b9b1c8f8fba0b45a30acf47b69495f2e1075de5b9eaa99d575","77","32","1","undefined","16","25","13"
"level_11.xml","77aff963a1a5eade94372357fca52b402d1cbeb8b6ad5dfedd2ef78cb0beaddd","44","16","1","undefined","10","20","9"
"level_12.xml","b7dd2d87226fc957deea2b41515de50aa2e66678237b0e6b75591c72f1825cc7","44","26","1","undefined","18","30","14"
"level_13.xml","fb144f6e9232ac3c1b6e5be87a51fcc56998980bb6aacada4c1ce0ce02765dbe","90","7","1","undefined","12","15","8"
"level_14.xml","2e4b46dcca833a549bf8b8586c589d64ae806d808760fc24a585aeb0fe8a15cd","48","31","1","undefined","12","26","22"
"level_15.xml","6a4197737e9a95c9db78fa3ed7cee65e4f2a2efc5facd3e2a0b8a89cbcac38e8","86","20","1","undefined","10","24","12"
"level_16.xml","c6bff23487cfb3f35b12bcd0e07e1afef4cd1241fcf480099d42f56edc88fdd6","50","17","1","undefined","12","58","23"
"level_17.xml","e4318a5f6491ea4ef0d211427bff99e350a43d0bc14516fe302df6d1c1159282","47","28","1","undefined","14","13","6"
"level_18.xml","72f61c506eb11064695208f664679e263ed3b3f6d7db7d41d57bdd57de8e3fb6","40","21","1","undefined","12","51","8"
