type,occurrences
"blindPirate","3"
"blindPirateCaptain","1"
"bluePirate","13"
"bluePirateCaptain","3"
"bossGuy","1"
"bossGuyZombie","1"
"cabinBoy","2"
"cabinBoyCaptain","1"
"crab","4"
"femalePirate","6"
"femalePirateCaptain","1"
"monkey","5"
"oldPirate","8"
"oldPirateCaptain","1"
"parrot","5"
"potentialWeapons","18"
"rainbowBeard","5"
"rainbowBeardCaptain","1"
"redPirate","78"
"redPirateCaptain","18"
"shark","5"
"skeletonPirate","10"
"skeletonPirateCaptain","1"
"soldier","5"
"soldierCaptain","1"
"squid","7"
"tribe","5"
"tribeChief","1"
"water","18"
