file,layer,x,y,tile
"level_01.xml","Terrain","23","4","grass_top_left"
"level_01.xml","Terrain","24","4","grass_top_middle_1"
"level_01.xml","Terrain","25","4","grass_top_middle_1"
"level_01.xml","Terrain","26","4","grass_top_middle_1"
"level_01.xml","Terrain","27","4","grass_top_middle_1"
"level_01.xml","Terrain","28","4","grass_top_right"
"level_01.xml","Terrain","32","4","grass_top_left"
"level_01.xml","Terrain","33","4","grass_top_middle_2"
"level_01.xml","Terrain","34","4","grass_top_middle_2"
"level_01.xml","Terrain","35","4","grass_top_middle_2"
"level_01.xml","Terrain","36","4","grass_top_middle_2"
"level_01.xml","Terrain","37","4","grass_top_right"
"level_01.xml","Terrain","23","5","earth_edge_left"
"level_01.xml","Terrain","24","5","earth_edge_middle_1"
"level_01.xml","Terrain","25","5","earth_edge_middle_1"
"level_01.xml","Terrain","26","5","eartyh_bottom_middle"
"level_01.xml","Terrain","27","5","eartyh_bottom_middle"
"level_01.xml","Terrain","28","5","earth_bottom_left"
"level_01.xml","Terrain","32","5","earth_bottom_right"
"level_01.xml","Terrain","33","5","eartyh_bottom_middle"
"level_01.xml","Terrain","34","5","eartyh_bottom_middle"
"level_01.xml","Terrain","35","5","earth_edge_middle_1"
"level_01.xml","Terrain","36","5","earth_edge_middle_1"
"level_01.xml","Terrain","37","5","earth_edge_right"
"level_01.xml","Terrain","46","5","crows_nest_2"
"level_01.xml","Terrain","47","5","crows_nest_1"
"level_01.xml","Terrain","2","6","mast_end_left"
"level_01.xml","Terrain","3","6","mast_tile"
"level_01.xml","Terrain","4","6","mast_middle_2"
"level_01.xml","Terrain","5","6","mast_middle_1"
"level_01.xml","Terrain","6","6","mast_tile"
"level_01.xml","Terrain","7","6","mast_end_right"
"level_01.xml","Terrain","8","6","mast_end_left"
"level_01.xml","Terrain","9","6","mast_tile"
"level_01.xml","Terrain","10","6","mast_middle_2"
"level_01.xml","Terrain","11","6","mast_middle_1"
"level_01.xml","Terrain","12","6","mast_tile"
"level_01.xml","Terrain","13","6","mast_end_right"
"level_01.xml","Terrain","23","6","earth_bottom_right"
"level_01.xml","Terrain","24","6","eartyh_bottom_middle"
"level_01.xml","Terrain","25","6","earth_bottom_left"
"level_01.xml","Terrain","35","6","earth_edge_left"
"level_01.xml","Terrain","36","6","earth_edge_middle_1"
"level_01.xml","Terrain","37","6","earth_edge_right"
"level_01.xml","Terrain","35","7","earth_bottom_right"
"level_01.xml","Terrain","36","7","eartyh_bottom_middle"
"level_01.xml","Terrain","37","7","earth_bottom_left"
"level_01.xml","Terrain","44","7","mast_end_left"
"level_01.xml","Terrain","45","7","mast_tile"
"level_01.xml","Terrain","46","7","mast_middle_2"
"level_01.xml","Terrain","47","7","mast_middle_1"
"level_01.xml","Terrain","48","7","mast_tile"
"level_01.xml","Terrain","49","7","mast_end_right"
"level_01.xml","Terrain","29","8","shell_sand_top_left"
"level_01.xml","Terrain","30","8","shell_sand_middle_2"
