tile,occurrences
"antichest","416"
"big_shell","20"
"big_tree","43"
"blank_sand_middle_1","77"
"blank_sand_middle_2","95"
"blank_sand_top_left","37"
"blank_sand_top_right","33"
"boat_ripple_1","11"
"boat_ripple_2","58"
"boat_ripple_3","78"
"boat_ripple_4","11"
"cannon_port_1","5"
"cannon_port_2","89"
"cannon_port_3","6"
"cave_edge_bottom","22"
"cave_edge_left","22"
"cave_edge_right","31"
"cave_edge_top","43"
"cave_grass","11"
"cave_inside_corner_bottom_left","15"
"cave_inside_corner_bottom_right","15"
"cave_inside_corner_top_left","17"
"cave_inside_corner_top_right","16"
"cave_middle_1","439"
"cave_middle_2","520"
"cave_middle_3","77"
"cave_outside_corner_bottom_left","3"
"cave_outside_corner_bottom_right","3"
"cave_outside_corner_top_left","5"
"cave_outside_corner_top_right","4"
"cave_rock_1","8"
"cave_rock_2","7"
"cave_rock_3","8"
"cave_torch","24"
"clam","11"
"crows_nest_1","14"
"crows_nest_2","14"
"earth_bottom_left","77"
"earth_bottom_middle_2","14"
"earth_bottom_middle_3","12"
"earth_bottom_right","85"
"earth_bottom_single","3"
"earth_edge_left","225"
"earth_edge_middle_1","690"
"earth_edge_middle_2","706"
"earth_edge_right","234"
"earth_single_collum","10"
"eartyh_bottom_middle","159"
"grass","139"
"grass_overlap_both","4"
"grass_overlap_left","66"
"grass_overlap_left_edge","1"
"grass_overlap_right","65"
"grass_overlap_right_edge","1"
"grass_row_left","22"
"grass_row_middle","34"
"grass_row_right","22"
"grass_top_left","135"
"grass_top_middle_1","177"
"grass_top_middle_2","44"
"grass_top_right","136"
"grass_top_single","6"
"mast_bottom","15"
"mast_end_left","28"
"mast_end_right","28"
"mast_middle","150"
"mast_middle_1","25"
"mast_middle_2","25"
"mast_tile","110"
"mast_top","17"
"rock_1","26"
"rock_2","39"
"rock_3","48"
"sand_overlap_left","37"
"sand_overlap_right","36"
"shell_sand_middle_1","44"
"shell_sand_middle_2","49"
"shell_sand_top_left","19"
"shell_sand_top_right","21"
"ship_anchor_1","5"
"ship_anchor_2","5"
"ship_anchor_3","6"
"ship_anchor_4","6"
"ship_end_1","6"
"ship_end_2","6"
"ship_end_3","32"
"ship_left_facing_1","5"
"ship_left_facing_2","3"
"ship_left_facing_3","5"
"ship_left_facing_5","5"
"ship_left_side_shaded_4","9"
"ship_right_facing_1","6"
"ship_right_facing_2","6"
"ship_right_facing_3","6"
"ship_right_facing_3_1","2"
"ship_right_facing_4","6"
"ship_right_facing_4_1","8"
"ship_right_side_shaded_2","5"
"ship_tile_1","69"
"ship_tile_2","67"
"ship_top_middle","36"
"single_grass_1","1"
"single_grass_2","4"
"small_tree","54"
"tile_ripple_left","133"
"tile_ripple_middle","1386"
"tile_ripple_right","133"
